"Stem","commR_17_18","n"
"abstract",90,1
"abstract syntax tre",56,2
"access",39,1
"active learning for classif",71,1
"activity-state model",91,1
"adapt",63,1
"adaptation of resourc",72,1
"adaptive learn",64,1
"adaptive learn",76,1
"additive factor model",65,1
"affect chang",80,1
"affect st",80,1
"affective backchannel",55,1
"affective comput",99,1
"affective learning companion",87,1
"affective st",98,1
"affili",46,1
"align",33,1
"analyt",25,1
"anim",81,1
"annotation softwar",7,1
"anticip",51,1
"assess",9,2
"attrition bia",65,1
"audience participation tool",59,1
"auto-grad",40,1
"automated evalu",84,1
"automated metr",38,1
"automated performance assess",32,1
"automated program analysi",45,1
"automated real-time feedback",24,1
"automated team form",27,1
"automated test",71,1
"automated tutoring system",26,1
"automatic assess",31,1
"automatic assess",58,1
"automatic grad",40,1
"automatic item gener",95,1
"bayesian network",44,1
"best practice model",7,1
"big clam",35,1
"biosensor",67,1
"categor",90,1
"causal cod",69,1
"chatbot",12,1
"citizen sci",30,1
"cluster",45,1
"cluster",59,1
"cognitive skil",77,1
"cognitive tutor",5,2
"collabor",25,1
"collabor",53,1
"collabor",89,1
"collaborative intelligent tutoring system",53,1
"collaborative learn",8,2
"collaborative learn",67,1
"collaborative learn",72,1
"collaborative learn",91,1
"college course classif",92,1
"communication strategi",55,1
"community of inquiry model",52,1
"compet",31,1
"competence develop",48,1
"computational think",1,3
"computational think",8,2
"computer adaptive test",95,1
"computer graph",81,1
"computer vis",39,1
"computing educ",17,1
"conceptual cod",69,1
"conceptual model",30,1
"conceptual think",90,1
"construction",39,1
"content analysi",52,1
"conversational ag",55,1
"course author",66,1
"course evalu",84,1
"critical situ",43,1
"cs1",53,1
"cs1",84,1
"cs2",53,1
"cultur",5,2
"cultural clust",68,1
"cultural differ",7,1
"data-driven teacher support",26,1
"data structur",53,1
"data visu",23,1
"deductive reasoning skil",44,1
"deep autoencod",40,1
"deep knowledge trac",77,1
"deep learn",1,3
"deep learn",17,1
"deep learn",77,1
"deep learn",92,1
"deep learn",93,1
"deep learning model",57,1
"development of cognit",90,1
"diagnostic assess",64,1
"digital media",18,2
"discours",46,1
"domain knowledg",77,1
"drop-out predict",17,1
"dropout predict",36,1
"e-learn",23,1
"early dropout predict",82,1
"ecolog",30,1
"educ",12,1
"educational appl",51,1
"educational data min",37,1
"educational data min",80,1
"educational data min",82,1
"educational data min",93,1
"educational data mining (edm)",68,1
"educational data sci",23,1
"educational process mining (epm)",68,1
"educational quest",33,1
"educational recommender system",49,1
"educational system",33,1
"educational virtual world",28,2
"edx",17,1
"efficaci",64,1
"efficaci",76,1
"electrodermal act",67,1
"emot",46,1
"emotion recognition engin",29,1
"emotional self-regulation skil",7,1
"encyclopedia of lif",30,1
"engag",17,1
"epistemic network analysi",52,1
"error diagnosi",56,2
"evalu",7,1
"evalu",96,1
"expected characteristics of answ",33,1
"exploratory essay",69,1
"exploratory learn",89,1
"exploratory learning environ",7,1
"eye-track",97,1
"feedback",53,1
"feedback improv",26,1
"feedback support",91,1
"formal",4,2
"funtoot",77,1
"fuzzy log",63,1
"galvanic skin response wristband",67,1
"game",7,1
"gamif",23,1
"gamified intelligent tutoring system",23,1
"gender",78,1
"general",90,1
"graph community detect",35,1
"group interact",91,1
"group learn",10,1
"hands-on",89,1
"haptic",39,1
"hierarchical taxonomi",77,1
"human practition",7,1
"ill-defined domain",43,1
"incept",90,1
"individualized feedback",38,1
"industry 4.0",48,1
"inquiry learn",22,2
"instance selection strategi",69,1
"instructional intervent",52,1
"instructor commun",17,1
"intelligent tutor",55,1
"intelligent tutoring system",2,7
"intelligent tutoring system",3,4
"intelligent tutoring system",6,3
"intelligent tutoring system",7,1
"intelligent tutoring system",13,2
"intelligent tutoring system",21,3
"intelligent tutoring system",23,1
"intelligent tutoring system",32,1
"intelligent tutoring system",45,1
"intelligent tutoring system",54,1
"intelligent tutoring system",57,1
"intelligent tutoring system",63,1
"intelligent tutoring system",70,2
"intelligent tutoring system",999,79
"intelligent tutoring system (its)",44,1
"interactive tutoring system",12,1
"interpersonal help-seek",37,1
"it skill train",32,1
"item model",95,1
"item response theori",42,2
"iterative logistic regress",82,1
"its authoring tool",23,1
"kit-build concept map",16,3
"knowledge representation and reason",12,1
"knowledge trac",17,1
"language learn",63,1
"large-scal",7,1
"learn",78,1
"learning activity select",98,1
"learning analyt",17,1
"learning analyt",25,1
"learning analyt",89,1
"learning companion",12,1
"learning companion",99,1
"learning content recommend",66,1
"learning curv",65,1
"learning design",68,1
"learning materi",35,1
"learning strategi",37,1
"lexical conceptual structur",81,1
"lifelong learn",50,3
"linkage process",35,1
"localis",25,1
"long short-term memori",36,1
"longitudin",46,1
"lstm",40,1
"lstm",57,1
"machine learn",54,1
"machine learn",63,1
"massive open online cours",68,1
"massive open online cours",70,2
"massive open online courses (mooc)",29,1
"mastery-based learn",64,1
"mastery learn",76,1
"math problem solv",99,1
"mathematics assess",95,1
"metacognit",97,1
"metacognitive experi",97,1
"micro-averaged scor",69,1
"mind wand",11,2
"mobile python tutor",13,2
"model scenario interact",7,1
"mooc",17,1
"mooc",36,1
"mooc",45,1
