"Stem","commR_13_20","n"
"intelligent tutoring system",1,38
"intelligent tutoring system",2,14
"intelligent tutoring system",3,10
"natural language process",3,10
"intelligent tutoring system",4,9
"cultur",5,4
"teachable ag",5,4
"gamif",6,4
"intelligent tutoring system",6,4
"intelligent tutoring system",7,3
"self-explan",7,3
"video-based learn",7,3
"worked exampl",7,3
"intelligent tutoring system",8,3
"intelligent tutoring system",9,3
"open learner model",10,2
"intelligent tutoring system",11,2
"multiple represent",11,2
"perceptual flu",11,2
"automated feedback",12,2
"learning analyt",12,2
"visual",12,2
"write",12,2
"multimodal learn",13,2
"automated performance feedback",14,2
"temporal bone surgeri",14,2
"virtual reality surgical train",14,2
"curios",15,1
"data storytel",15,1
"data visu",15,1
"educational recommend",15,1
"human-centered design",15,1
"interactive user experi",15,1
"natural language process",15,1
"network analysi",15,1
"personalized learn",15,1
"risk predict",15,1
"sensemaking in learning analyt",15,1
"student data",15,1
"unsupervised machine learn",15,1
"metacognit",16,2
"assess",17,2
"tutorial dialogu",18,3
"authoring tool",19,2
"artificial intellig",20,1
"authoring tool",20,1
"cauti",20,1
"clabsi",20,1
"cognitive sci",20,1
"confid",20,1
"feedback",20,1
"healthcar",20,1
"intelligent tutoring system",20,1
"metacognit",20,1
"train",20,1
"virtual human",20,1
"teachable ag",21,9
"adaptive educational hypermedia",22,1
"dropout",22,1
"e-learning system",22,1
"evalu",22,1
"learning analyt",22,1
"learning behavior analysi",22,1
"programming online judg",22,1
"social learn",22,1
"item response theori",23,11
"kit-build concept map",24,4
"chatbot",25,1
"educ",25,1
"interactive tutoring system",25,1
"knowledge representation and reason",25,1
"learning companion",25,1
"virtual learning assist",25,1
"virtual teaching assist",25,1
"user studi",26,2
"intelligent tutoring system",27,3
"inquiry learn",28,2
"virtual lab",28,2
"epistemic network analysi",30,2
"open learner model",31,2
"uncertainti",31,2
"visualis",31,2
"aie",32,1
"artificial intellig",32,1
"dataset",32,1
"educ",32,1
"knowledge trac",32,1
"professional cap",33,2
"deep learn",34,2
"dialogue-based tutoring system",34,2
"intelligent tutoring system",34,2
"natural language process",34,2
"e-educ",35,1
"executive funct",35,1
"eye-tracking studi",35,1
"gaze behavior",35,1
"inhibit",35,1
"learn",35,1
"memori",35,1
"student model",35,1
"machine learn",36,2
"lifelong learn",38,5
"motiv",39,2
"collaborative learn",40,2
"makerspac",40,2
"motion sensor",40,2
"information retriev",41,1
"machine learn",41,1
"micro learn",41,1
"neural network",41,1
"recommender system",41,1
"answer match",42,1
"domain reason",42,1
"hypothesis test",42,1
"intelligent tutoring system",42,1
"natural language process",42,1
"neural network",42,1
"semantic similar",42,1
"statistics educ",42,1
"machine learn",43,3
"production system",44,2
"machine learn",46,1
"performance predict",46,1
"teamwork",46,1
"text min",46,1
"crowdsourc",47,1
"drill down analysi",47,1
"educational system",47,1
"intelligent dashboard",47,1
"learner model",47,1
"learnersourc",47,1
"learning analytics dashboard",47,1
"peer learn",47,1
"peer support",47,1
"process mining in educ",47,1
"reciprocal recommend",47,1
"recsystel",47,1
"evalu",48,1
"forum post",48,1
"increase student engag",48,1
"online learning platform",48,1
"positive word",48,1
"problem solv",48,1
"story el",48,1
"thin blue lin",48,1
"arithmetic addit",49,1
"coding analysi",49,1
"cognitive load",49,1
"difficulty factor",49,1
"digital assistive tool",49,1
"digital scratchpad",49,1
"engag",49,1
"game perform",49,1
"gamif",49,1
"learning material difficulti",49,1
"personalized learn",49,1
"powerpoint slid",49,1
"recommender system",49,1
"affili",50,1
"collaborative learn",50,1
"community of inquiri",50,1
"computational linguist",50,1
"discours",50,1
"emot",50,1
"gender differ",50,1
"gender in stem",50,1
"group communication analysi",50,1
"group process",50,1
"higher educ",50,1
"linguistic inquiry and word count (liwc)",50,1
"longitudin",50,1
"mooc",50,1
"online learn",50,1
"cognitive disequilibrium",51,1
"data drive approach",51,1
"goal related act",51,1
"learning behavior",51,1
"learning strategi",51,1
"align",52,1
"dependency pars",52,1
"educational quest",52,1
"educational system",52,1
"expected characteristics of answ",52,1
"neural network",52,1
"question classif",52,1
"question dataset and taxonomi",52,1
"question gener",52,1
"semantic role label",52,1
"student respons",52,1
"dashboard",53,1
"eye track",53,1
"intelligent tutor",53,1
"mathemat",53,1
"pedagogical ag",53,1
"plate tecton",53,1
