"Stem","commR_13_14","n"
"abstract syntax tre",59,1
"adaptation of problem",24,1
"adaptive behaviour",7,1
"adaptive educational hypermedia",20,1
"adaptive script",42,1
"adaptive train",48,1
"adaptive tutor",47,1
"adoption-based research",53,1
"affect",56,1
"affect recognit",7,1
"affective aspects of learn",8,1
"algebra",62,1
"alternating least squares matrix factor",64,1
"aplusix",56,1
"applied behavior analysi",32,1
"arithmetical word problem",60,1
"assess",48,1
"assistive and augmentative communication (aac)",35,1
"augmented artwork",23,1
"augmented r",70,1
"authoring tool",16,2
"autism",32,1
"autism",39,2
"automated assess",22,1
"automated mark",58,1
"barriers to adopt",71,1
"bayesian network",27,1
"blind search algorithm",58,1
"brainstorm",29,1
"children",39,2
"clustering algorithm",61,1
"coding analysi",38,1
"cognitive disequilibrium",11,1
"cognitive model",64,1
"computer-supported collaborative learn",14,1
"computer science educ",10,1
"concept-based student model",46,1
"conceptual knowledg",27,1
"crf",18,1
"cscl",29,1
"cultur",26,1
"data drive approach",11,1
"data min",29,1
"data mining and machine learn",8,1
"decim",24,1
"design",39,2
"design and formative studies of aied system",8,1
"design of elearning system",17,1
"dialect",26,1
"dialogue transit",18,1
"difficulty factor",38,1
"digital divid",71,1
"digital librari",40,1
"digital storytel",70,1
"discrep",39,2
"distributed system",23,1
"domain-specific learning appl",8,1
"dummy sentence card",60,1
"dyscalculia",19,1
"e-assess",58,1
"e-learning system",20,1
"ecological approach",17,1
"educational argumentation system",69,1
"educational data min",67,1
"educational gam",52,1
"embedded experi",67,1
"embodied conversational ag",56,1
"emot",43,1
"enhanced discovery learn",23,1
"enthusiasm",10,1
"erroneous exampl",24,1
"error diagnosi",41,1
"ethics educ",17,1
"evalu",20,1
"evalu",39,2
"exercise system",59,1
"face-to-face collabor",29,1
"facilit",14,1
"feature process",19,1
"feedback provis",33,1
"female stud",57,1
"forum post",18,1
"game-based learn",5,2
"game-based learn",65,1
"genetics educ",69,1
"gesture-based interact",23,1
"goal related act",11,1
"graduate stud",68,1
"group mentorship",40,1
"hci",39,2
"heuristic search",51,1
"hmm",34,1
"human problem solv",51,1
"human tutor",57,1
"hybrid approach",40,1
"hypergraph",62,1
"ill-defined domain",17,1
"increase student engag",18,1
"informal learn",23,1
"informal learn",47,1
"informal science educ",10,1
"information retriev",40,1
"initi",39,2
"innov",53,1
"instructor-mediated design",48,1
"intelligent ag",32,1
"intelligent tutor",6,2
"intelligent tutor",52,1
"intelligent tutor system",17,1
"intelligent tutor system",59,1
"intelligent tutoring system",1,11
"intelligent tutoring system",3,5
"intelligent tutoring system",4,4
"intelligent tutoring system",6,2
"intelligent tutoring system",10,1
"intelligent tutoring system",33,1
"intelligent tutoring system",55,1
"intelligent tutoring system",56,1
"intelligent tutoring system",62,1
"intelligent tutoring system",71,1
"intelligent tutoring system",999,82
"interactive ev",7,1
"interactive problem solv",24,1
"interpersonal commun",13,1
"investigative learn",63,1
"ipad",47,1
"irt",34,1
"item response theori",30,3
"item response theori",45,1
"knowledge represent",32,1
"knowledge represent",42,1
"knowledge represent",62,1
"language compet",7,1
"language learn",7,1
"latent dirichlet alloc",21,1
"latent semantic analysi",21,1
"latent skil",64,1
"learn",19,1
"learn",39,2
"learn",56,1
"learn analyt",7,1
"learner knowledge assess",34,1
"learner model",7,1
"learner model",27,1
"learning behavior",11,1
"learning behavior analysi",20,1
"learning by problem-pos",60,1
"learning material difficulti",38,1
"learning path",34,1
"learning scenario",63,1
"learning strategi",11,1
"learning system",17,1
"lifelong learn",68,1
"lsa",17,1
"machine learn",2,2
"machine learn",25,2
"machine learn",33,1
"machine learn",43,1
"male stud",57,1
"mammographi",67,1
"mathemat",43,1
"mathematics educ",24,1
"metacognit",8,1
"mixed r",70,1
"mobile assisted language learning (mall)",35,1
"mobile learn",71,1
"model-trac",41,1
"models of learn",8,1
"motiv",56,1
"multiple data sourc",7,1
"museum exhibit",23,1
"museum visit",70,1
"natural deduct",37,1
"natural language process",12,2
"natural language process",15,3
"negative feedback",41,1
"off-path step",41,1
"online discuss",18,1
"online mentorship",40,1
"ontolog",32,1
"open-ended learning environ",6,2
"open learner model",7,1
"open learner model",29,1
"pairwise clust",19,1
"pca",34,1
"pedagogical ag",6,2
"pedagogical ag",10,1
"pedagogical strategi",17,1
"peer model",26,1
"peer review",9,2
"peer review",40,1
"penalti",52,1
"person",40,1
"pervasive gam",70,1
"php",55,1
"positive word",18,1
"powerpoint slid",38,1
"practical ultra portable tutoring systems(pupits)",67,1
"practice environ",17,1
"predict",19,1
"problem difficulti",51,1
"problem pos",37,1
"problem sequenc",46,1
"problem solv",6,2
"problem solv",37,1
"problem solv",62,1
"problem solving environ",45,1
"procedural knowledge estim",45,1
"procedural skil",22,1
"production system",37,1
"program analysi",55,1
"programming defect",59,1
"question gener",14,1
"question gener",27,1
"reading comprehens",65,1
"reading strategi",21,1
"recommender system",38,1
"recommender system",40,1
"recommender system",68,1
"reflect",29,1
"relaxed graph match",22,1
"scaffold",6,2
"scaffold",63,1
"self-efficaci",10,1
"self-explan",24,1
"self-regulated learn",6,2
"semantic augmentation and analysi",13,1
"sentence integr",60,1
"sentiment analysi",43,1
"serious gam",42,1
"serious gam",52,1
"simulated environments for learn",13,1
"simulated learn",17,1
"simulated learning environ",17,1
"situated learn",35,1
"situational interest",65,1
"skills assess",64,1
"social commun",39,2
"social cont",13,1
"social learn",20,1
"social network",40,1
"speech act",18,1
"state sequ",57,1
"static case bas",59,1
"story el",18,1
"student model",17,1
"student model",45,1
"student model",64,1
"student track",61,1
"subject",14,1
"support vector machin",21,1
"systematic mapping studi",71,1
"tabletop",29,1
"tasks and problem-solving process",8,1
"teachable ag",28,2
"technology transit",53,1
"text cohes",21,1
"textual complex",21,1
"thin blue lin",18,1
"trust and reput",40,1
"tutor system",17,1
"tutorial dialog",67,1
"tutorial dialogu",5,2
"tutoring dialogu",57,1
"ubiquitous learning environ",8,1
"unsupervised learn",61,1
"user model",40,1
"viewpoint",13,1
"virtual and robotic tutor",7,1
"virtual environ",39,2
"virtual r",42,1
"visualis",7,1
"web",63,1
"web-based e-learning system",58,1
